par_idx,country,voc,Rt,ntests,hcf_prob
0,zambia,omicron,0.9,0,0.0
1,zambia,omicron,0.9,10,0.4
2,zambia,omicron,0.9,10,0.8
3,zambia,omicron,0.9,100,0.4
4,zambia,omicron,0.9,100,0.8
5,zambia,omicron,0.9,200,0.4
6,zambia,omicron,0.9,200,0.8
7,zambia,omicron,0.9,400,0.4
8,zambia,omicron,0.9,400,0.8
9,zambia,omicron,0.9,600,0.4
10,zambia,omicron,0.9,600,0.8
11,zambia,omicron,0.9,800,0.4
12,zambia,omicron,0.9,800,0.8
13,zambia,omicron,0.9,1000,0.4
14,zambia,omicron,0.9,1000,0.8
15,zambia,omicron,0.9,1500,0.4
16,zambia,omicron,0.9,1500,0.8
17,zambia,omicron,1.1,0,0.0
18,zambia,omicron,1.1,10,0.4
19,zambia,omicron,1.1,10,0.8
20,zambia,omicron,1.1,100,0.4
21,zambia,omicron,1.1,100,0.8
22,zambia,omicron,1.1,200,0.4
23,zambia,omicron,1.1,200,0.8
24,zambia,omicron,1.1,400,0.4
25,zambia,omicron,1.1,400,0.8
26,zambia,omicron,1.1,600,0.4
27,zambia,omicron,1.1,600,0.8
28,zambia,omicron,1.1,800,0.4
29,zambia,omicron,1.1,800,0.8
30,zambia,omicron,1.1,1000,0.4
31,zambia,omicron,1.1,1000,0.8
32,zambia,omicron,1.1,1500,0.4
33,zambia,omicron,1.1,1500,0.8
34,zambia,omicron,1.2,0,0.0
35,zambia,omicron,1.2,10,0.4
36,zambia,omicron,1.2,10,0.8
37,zambia,omicron,1.2,100,0.4
38,zambia,omicron,1.2,100,0.8
39,zambia,omicron,1.2,200,0.4
40,zambia,omicron,1.2,200,0.8
41,zambia,omicron,1.2,400,0.4
42,zambia,omicron,1.2,400,0.8
43,zambia,omicron,1.2,600,0.4
44,zambia,omicron,1.2,600,0.8
45,zambia,omicron,1.2,800,0.4
46,zambia,omicron,1.2,800,0.8
47,zambia,omicron,1.2,1000,0.4
48,zambia,omicron,1.2,1000,0.8
49,zambia,omicron,1.2,1500,0.4
50,zambia,omicron,1.2,1500,0.8
51,zambia,omicron,1.5,0,0.0
52,zambia,omicron,1.5,10,0.4
53,zambia,omicron,1.5,10,0.8
54,zambia,omicron,1.5,100,0.4
55,zambia,omicron,1.5,100,0.8
56,zambia,omicron,1.5,200,0.4
57,zambia,omicron,1.5,200,0.8
58,zambia,omicron,1.5,400,0.4
59,zambia,omicron,1.5,400,0.8
60,zambia,omicron,1.5,600,0.4
61,zambia,omicron,1.5,600,0.8
62,zambia,omicron,1.5,800,0.4
63,zambia,omicron,1.5,800,0.8
64,zambia,omicron,1.5,1000,0.4
65,zambia,omicron,1.5,1000,0.8
66,zambia,omicron,1.5,1500,0.4
67,zambia,omicron,1.5,1500,0.8
68,zambia,omicron,2.0,0,0.0
69,zambia,omicron,2.0,10,0.4
70,zambia,omicron,2.0,10,0.8
71,zambia,omicron,2.0,100,0.4
72,zambia,omicron,2.0,100,0.8
73,zambia,omicron,2.0,200,0.4
74,zambia,omicron,2.0,200,0.8
75,zambia,omicron,2.0,400,0.4
76,zambia,omicron,2.0,400,0.8
77,zambia,omicron,2.0,600,0.4
78,zambia,omicron,2.0,600,0.8
79,zambia,omicron,2.0,800,0.4
80,zambia,omicron,2.0,800,0.8
81,zambia,omicron,2.0,1000,0.4
82,zambia,omicron,2.0,1000,0.8
83,zambia,omicron,2.0,1500,0.4
84,zambia,omicron,2.0,1500,0.8
