,country,vacc_prob,Rt,ntest,fold
0,brazil,0.1,0.9,100,0.16886543535620074
1,brazil,0.1,0.9,500,
2,brazil,0.1,1.2,100,0.47322859890990737
3,brazil,0.1,1.2,500,0.574025405168638
4,brazil,0.1,1.5,100,
5,brazil,0.1,1.5,500,0.48090156577241494
6,brazil,0.1,2.0,100,
7,brazil,0.1,2.0,500,
8,brazil,0.5,0.9,100,0.2722513089005237
9,brazil,0.5,0.9,500,
10,brazil,0.5,1.2,100,0.0
11,brazil,0.5,1.2,500,
12,brazil,0.5,1.5,100,
13,brazil,0.5,1.5,500,0.4625111573936328
14,brazil,0.5,2.0,100,
15,brazil,0.5,2.0,500,
16,brazil,0.9,0.9,100,0.4804804804804804
17,brazil,0.9,0.9,500,
18,brazil,0.9,1.2,100,0.25102459016393436
19,brazil,0.9,1.2,500,
20,brazil,0.9,1.5,100,
21,brazil,0.9,1.5,500,0.47037037037037005
22,brazil,0.9,2.0,100,
23,brazil,0.9,2.0,500,0.6280934922089819
24,georgia,0.1,0.9,100,0.23488664987405544
25,georgia,0.1,0.9,500,
26,georgia,0.1,1.2,100,0.0
27,georgia,0.1,1.2,500,
28,georgia,0.1,1.5,100,0.0
29,georgia,0.1,1.5,500,0.392392205084338
30,georgia,0.1,2.0,100,
31,georgia,0.1,2.0,500,0.6483585858585859
32,georgia,0.5,0.9,100,0.49169110459433035
33,georgia,0.5,0.9,500,
34,georgia,0.5,1.2,100,0.0925212027756361
35,georgia,0.5,1.2,500,
36,georgia,0.5,1.5,100,0.0
37,georgia,0.5,1.5,500,0.32788400439027204
38,georgia,0.5,2.0,100,
39,georgia,0.5,2.0,500,0.5093401127445549
40,georgia,0.9,0.9,100,
41,georgia,0.9,0.9,500,
42,georgia,0.9,1.2,100,0.20261437908496682
43,georgia,0.9,1.2,500,
44,georgia,0.9,1.5,100,0.0
45,georgia,0.9,1.5,500,0.6166989607186895
46,georgia,0.9,2.0,100,
47,georgia,0.9,2.0,500,0.45358290792210254
48,zambia,0.1,0.9,100,0.33558863328822736
49,zambia,0.1,0.9,500,
50,zambia,0.1,1.2,100,
51,zambia,0.1,1.2,500,0.4621370278990321
52,zambia,0.1,1.5,100,
53,zambia,0.1,1.5,500,0.4705128205128205
54,zambia,0.1,2.0,100,
55,zambia,0.1,2.0,500,0.6731375879640865
56,zambia,0.5,0.9,100,
57,zambia,0.5,0.9,500,
58,zambia,0.5,1.2,100,
59,zambia,0.5,1.2,500,0.536072772898369
60,zambia,0.5,1.5,100,
61,zambia,0.5,1.5,500,0.4869072894550596
62,zambia,0.5,2.0,100,
63,zambia,0.5,2.0,500,
64,zambia,0.9,0.9,100,
65,zambia,0.9,0.9,500,
66,zambia,0.9,1.2,100,
67,zambia,0.9,1.2,500,0.7348416289592762
68,zambia,0.9,1.5,100,
69,zambia,0.9,1.5,500,0.572944297082228
70,zambia,0.9,2.0,100,
71,zambia,0.9,2.0,500,
